,name,id
0,Giannis Antetokounmpo,203507
1,Kobe Bryant,977
2,Wilt Chamberlain,76375
3,Stephen Curry,201939
4,Allen Iverson,947
5,Bill Russell,78049
6,Karl Malone,252
7,Kareem Abdul-Jabbar,76003
8,Dave Cowens,76462
9,Michael Jordan,893
10,Magic Johnson,77142
11,David Robinson,764
12,Julius Erving,76681
13,Bob McAdoo,77498
14,Larry Bird,1449
15,Kevin Garnett,708
16,Nikola Jokic,203999
17,Oscar Robertson,600015
18,Hakeem Olajuwon,165
19,Bob Pettit,77847
20,Shaquille O'Neal,406
21,Tim Duncan,1495
22,LeBron James,2544
23,Moses Malone,77449
24,Bob Cousy,600003
25,Steve Nash,959
26,Derrick Rose,201565
27,Willis Reed,77929
28,Charles Barkley,787
29,Kevin Durant,201142
30,Russell Westbrook,201566
31,Wes Unseld,78392
32,Bill Walton,78450
33,Dirk Nowitzki,1717
34,James Harden,201935
